service_date,line,estimated_boardings,ObjectId
2020/08/11 04:00:00+00,Haverhill,687,427
2020/08/11 04:00:00+00,Kingston,704.5,428
2020/08/11 04:00:00+00,Needham,1041.5,429
2020/08/11 04:00:00+00,Fitchburg,689,430
2020/08/11 04:00:00+00,Greenbush,348.5,431
2020/08/11 04:00:00+00,Fairmount,503.5,432
2020/08/12 04:00:00+00,Providence/Stoughton,3253,433
2020/09/01 04:00:00+00,Providence/Stoughton,2823.5,434
2020/08/12 04:00:00+00,Newburyport/Rockport,1910,435
2020/08/12 04:00:00+00,Framingham/Worcester,1444,436
2020/08/12 04:00:00+00,Franklin/Foxboro,1526.5,437
2020/08/12 04:00:00+00,Middleborough/Lakeville,949.5,438
2020/08/12 04:00:00+00,Lowell,1149,439
2020/08/12 04:00:00+00,Haverhill,688,440
2020/08/12 04:00:00+00,Kingston,698,441
2020/08/12 04:00:00+00,Needham,1111.5,442
2020/08/12 04:00:00+00,Fitchburg,696,443
2020/08/12 04:00:00+00,Greenbush,344.5,444
2020/08/12 04:00:00+00,Fairmount,564.5,445
2020/08/13 04:00:00+00,Providence/Stoughton,3096,446
2020/08/13 04:00:00+00,Newburyport/Rockport,2088,447
2020/08/13 04:00:00+00,Framingham/Worcester,1322,448
2020/08/13 04:00:00+00,Franklin/Foxboro,1261,449
2020/08/13 04:00:00+00,Middleborough/Lakeville,935.5,450
2020/08/13 04:00:00+00,Lowell,1109,451
2020/09/11 04:00:00+00,Middleborough/Lakeville,1217,452
2020/09/11 04:00:00+00,Lowell,1031.5,453
2020/09/11 04:00:00+00,Haverhill,778,454
2020/09/11 04:00:00+00,Kingston,746,455
2020/09/11 04:00:00+00,Needham,681.5,456
2020/09/11 04:00:00+00,Fitchburg,652.5,457
2020/09/11 04:00:00+00,Greenbush,341,458
2020/09/11 04:00:00+00,Fairmount,385.5,459
2020/09/14 04:00:00+00,Providence/Stoughton,3100.5,460
2020/09/14 04:00:00+00,Newburyport/Rockport,1821,461
2020/09/14 04:00:00+00,Framingham/Worcester,1793,462
2020/09/14 04:00:00+00,Franklin/Foxboro,1576.5,463
2020/09/14 04:00:00+00,Middleborough/Lakeville,948,464
2020/09/14 04:00:00+00,Lowell,1172,465
2020/09/14 04:00:00+00,Haverhill,762,466
2020/09/14 04:00:00+00,Kingston,801,467
2020/09/14 04:00:00+00,Needham,816,468
2020/09/14 04:00:00+00,Fitchburg,652.5,469
2020/09/14 04:00:00+00,Greenbush,363,470
2020/09/14 04:00:00+00,Fairmount,388,471
2020/09/15 04:00:00+00,Providence/Stoughton,3178,472
2020/09/15 04:00:00+00,Newburyport/Rockport,1821,473
2020/09/15 04:00:00+00,Framingham/Worcester,1986,474
2020/09/15 04:00:00+00,Franklin/Foxboro,1858,475
2020/09/15 04:00:00+00,Middleborough/Lakeville,1092,476
2020/09/15 04:00:00+00,Lowell,1123,477
2020/09/15 04:00:00+00,Haverhill,797,478
2020/09/15 04:00:00+00,Kingston,806,479
2020/09/15 04:00:00+00,Needham,727,480
2020/09/15 04:00:00+00,Fitchburg,615.5,481
2020/09/15 04:00:00+00,Greenbush,452,482
2020/09/15 04:00:00+00,Fairmount,365,483
2020/09/16 04:00:00+00,Providence/Stoughton,3377,484
2020/09/16 04:00:00+00,Newburyport/Rockport,1914,485
2020/09/16 04:00:00+00,Framingham/Worcester,2202.5,486
2020/09/16 04:00:00+00,Franklin/Foxboro,1818.5,487
2020/09/16 04:00:00+00,Middleborough/Lakeville,1090,488
2020/09/16 04:00:00+00,Lowell,1143,489
2020/09/16 04:00:00+00,Haverhill,765.5,490
2020/09/16 04:00:00+00,Kingston,906.5,491
2020/09/16 04:00:00+00,Needham,727,492
2020/09/16 04:00:00+00,Fitchburg,593,493
2020/09/16 04:00:00+00,Greenbush,401,494
2020/09/16 04:00:00+00,Fairmount,393,495
2020/09/17 04:00:00+00,Providence/Stoughton,3711.5,496
2020/09/17 04:00:00+00,Newburyport/Rockport,1747,497
2020/09/17 04:00:00+00,Framingham/Worcester,1918.5,498
2020/09/17 04:00:00+00,Franklin/Foxboro,2006.5,499
2020/09/17 04:00:00+00,Middleborough/Lakeville,1110,500
2020/09/17 04:00:00+00,Lowell,1098,501
2020/09/01 04:00:00+00,Newburyport/Rockport,1774,502
